id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
340452;Bright. unique. quiet and central flat;1727489;Roland;;Hillside and Calton Hill;55.95956;-3.18015;Entire home/apt;103;2;642;27/08/2022;5.02;1;172;87;
350267;Gattopardo Edinburgh Holiday House;1775021;Gino;;Broughton North and Powderhall;55.96331;-3.19121;Entire home/apt;100;2;95;27/08/2018;0.75;4;0;0;
352432;Edinburgh Garden Apartment;1784753;Pamela;;Deans Village;55.94837;-3.22108;Entire home/apt;164;3;107;08/09/2022;0.87;1;18;21;
355938;Parliament Square - Royal Mile;1801836;Shahid;;Old Town, Princes Street and Leith Street;55.94929;-3.18991;Entire home/apt;253;2;134;25/07/2022;1.07;4;238;12;
356028;Apartment with great views & free parking;1802110;Deanna;;Bonnington;55.97228;-3.18869;Entire home/apt;95;5;33;08/08/2022;0.27;1;8;2;
356052;Mia Apartment. Edinburgh City;1775021;Gino;;Broughton South;55.96346;-3.18639;Entire home/apt;85;2;22;30/08/2016;0.18;4;0;0;
361050;Large room in disabled friendly flat - Bruntsfield;1825119;Anne;;Bruntsfield;55.93995;-3.20736;Private room;60;3;76;10/09/2022;0.6;1;169;18;
362653;Papermill Wynd Chiara Apartment.;1775021;Gino;;Broughton South;55.96398;-3.18636;Private room;95;2;41;27/05/2017;0.34;4;0;0;
363642;Wonderful/beautiful room Edinburgh;1837147;Wendy;;Comiston and Swanston;55.90923;-3.21368;Private room;50;2;68;06/11/2019;0.55;1;260;0;
364717;Stylish B&B - Family  Quad Ensuite;1621514;Mo;;Newington and Dalkeith Road;55.93628;-3.16941;Private room;100;1;0;;;5;227;0;
376937;Dario Apartment. Edinburgh;1775021;Gino;;Broughton South;55.96389;-3.18585;Entire home/apt;85;2;74;04/09/2019;0.65;4;0;0;
388297;Stunning villa by Holyrood Park -parking & garden!;1942840;Yvonne;;Willowbrae and Duddingston Village;55.95281;-3.14962;Entire home/apt;181;4;88;29/05/2022;0.72;3;249;1;
389318;City centre. Walk to Castle. Museum etc. Own bath.;1947854;Rona;;Meadows and Southside;55.94313;-3.1808;Private room;44;2;395;31/08/2020;3.1;1;0;0;
391558;City centre. lovely reviews. near tram & train.;1958301;Joanne;;Old Town, Princes Street and Leith Street;55.9577;-3.18784;Entire home/apt;133;4;55;27/08/2022;0.45;1;157;23;
391610;Quiet. elegant double with private shower & wc;1958560;Harriet;;Shandon;55.93106;-3.23188;Private room;45;3;484;05/09/2022;3.8;1;32;45;
404888;Quirky. arty apartment in Abbeyhill;1699475;Fiona;;Abbeyhill;55.95426;-3.16724;Entire home/apt;100;3;25;30/08/2022;0.2;1;14;5;
405790;Writers View - Royal Mile near Castle;1947266;John;;Old Town, Princes Street and Leith Street;55.95006;-3.19234;Entire home/apt;182;3;106;11/08/2022;0.91;1;74;9;
408831;Sunny Room in house with beautiful views;2035652;Liz;;Comiston and Swanston;55.90072;-3.22044;Private room;51;3;85;09/09/2022;0.7;2;0;9;
419487;Booklover's Bed With a View;2084557;Rachel;;Old Town, Princes Street and Leith Street;55.95044;-3.19512;Entire home/apt;133;4;151;07/09/2022;1.5;1;155;29;
426766;Bright  Clean  Double Room  Ensuite;1961072;Javed;;Prestonfield;55.92897;-3.1552;Private room;86;1;121;04/09/2022;0.96;2;339;37;
426770;Bright & Clean Single Room /Central;1961072;Javed;;Prestonfield;55.92925;-3.15734;Private room;66;1;88;11/09/2022;0.7;2;337;35;
428822;Exclusive en-suite family room near City & airport;2131536;Carmela;;Barnton, Cammo and Cramond South;55.96202;-3.3119;Private room;100;3;237;02/01/2020;3.18;1;0;0;
442465;One of the rooms in Zeb's flat;851172;Zeb David;;Easter Road and Hawkhill Avenue;55.96074;-3.17009;Private room;59;2;6;05/12/2021;0.05;16;0;1;
447206;Comfy Room behind Holyrood Palace;2220775;Eva;;Abbeyhill;55.95561;-3.16749;Private room;35;2;730;07/09/2022;5.78;4;275;66;
450745;Bright 2 br flat walking distance Royal Mile;2238338;Jen;;Canongate, Southside and Dumbiedykes;55.943081;-3.178438;Entire home/apt;124;2;169;03/09/2022;2.56;1;106;40;
458510;Central Edinburgh 1 Bedroom Flat;2280137;Gill;;Deans Village;55.95296;-3.20537;Entire home/apt;100;4;240;02/08/2022;1.91;10;64;40;
480324;Water of Leith View. Edinburgh;2378566;Heather;;North Leith and Newhaven;55.97637;-3.17675;Entire home/apt;133;3;69;12/08/2022;0.72;2;253;10;
481841;Castle View in stylish Stockbridge;1940604;James;;Stockbridge;55.95943;-3.21418;Entire home/apt;199;2;45;24/08/2022;0.4;1;326;20;
485856;Royal Mile Apt1- Historic Old Town Centre;2404912;Carol;;Canongate, Southside and Dumbiedykes;55.95078;-3.183;Entire home/apt;113;2;437;12/09/2022;3.54;3;135;74;
497140;Lovely Quiet Apartment in Gorgie. near City Centre;2452990;Barry;;Gorgie East;55.93864;-3.23089;Entire home/apt;76;5;62;09/08/2022;0.5;1;65;4;
500696;Castle view apartment in city centre | 1 bed;224444157;Sue And Grant;;Tollcross;55.94451;-3.2036;Entire home/apt;102;3;290;05/09/2022;2.32;26;38;58;
509191;The Treehouse Room incl. basic Breakfast;851172;Zeb David;;Easter Road and Hawkhill Avenue;55.961281;-3.171197;Private room;53;1;21;23/07/2022;0.17;16;334;12;
513895;5 * City Centre Main Door Flat with Patio& Parking;2531629;Karyn;;Deans Village;55.95005;-3.21074;Entire home/apt;151;1;122;05/08/2022;1.4;1;0;30;
516445;The Park -  Holyrood Road;1801836;Shahid;;Canongate, Southside and Dumbiedykes;55.95101;-3.17653;Entire home/apt;175;2;181;26/06/2022;1.48;4;305;7;
520802;Gorgeous Apartment with Stunning Views. Old Town;2562187;Marta;;Abbeyhill;55.95397;-3.16811;Entire home/apt;144;2;122;10/09/2022;0.99;1;196;54;
521385;Beautiful Grassmarket Apartment;2564448;Fiona;;Old Town, Princes Street and Leith Street;55.94694;-3.19443;Entire home/apt;130;3;281;24/08/2022;2.26;2;253;35;
522765;GuestReady - Beautiful Period Flat by City Center;402191311;GuestReady;;Broughton South;55.96207;-3.1815;Entire home/apt;87;2;36;28/07/2022;0.29;25;96;21;
530628;Elegant Stylish Central 5 Bed TownHouse +fast wifi;2605039;John;;Deans Village;55.94924;-3.21623;Entire home/apt;175;1;180;08/09/2022;1.45;2;258;52;
531292;EDINBURGH ROYAL MILE APARTMENT;2609833;Allan;;Old Town, Princes Street and Leith Street;55.95067;-3.18424;Entire home/apt;102;2;513;05/09/2022;4.27;1;138;70;
545821;Sunny room in Edinburgh+free parking+breakfast;2683229;Sue;;Baberton and Juniper Green;55.90962;-3.28787;Private room;58;1;351;11/09/2022;2.85;1;8;50;
551652;Edinburgh by the sea - Portobello;2710898;Danielle;;Portobello;55.95852;-3.12248;Entire home/apt;74;3;88;12/09/2022;0.71;2;1;9;
551686;Beautiful flat by sea - Portobello;2710898;Danielle;;Portobello;55.95851;-3.12354;Entire home/apt;50;2;79;10/09/2020;0.65;2;0;0;
562350;Walter Scott Suite Luxury apt stunning Castle view;2765595;Morris;;Deans Village;55.95246;-3.20368;Entire home/apt;232;3;45;31/07/2022;0.4;3;298;4;
568026;Immaculate Edinburgh 2 bedroom flat;2794963;Derek;;Polwarth;55.93792;-3.22166;Entire home/apt;55;3;353;31/08/2020;2.87;1;0;0;
573745;Beautiful Two bed Apartment in Leith with parking;2823210;Jessica;;South Leith;55.96673;-3.17416;Entire home/apt;79;2;227;30/08/2022;1.85;1;110;39;
579038;Overlooking Leith-Links home of golf. free parking;2765595;Morris;;The Shore and Constitution Street;55.97177;-3.16851;Entire home/apt;250;3;20;11/09/2022;0.18;3;219;6;
591360;FUNKY 3BR apartment in quiet central neighbourhood;2918371;Rachel;;New Town East and Gayfield;55.9589;-3.18714;Entire home/apt;92;3;314;04/09/2022;2.59;1;5;35;
603443;2 Bedroom 1 Bathroom Apartment. Royal Mile;2711564;Harvey;;Old Town, Princes Street and Leith Street;55.95028668;-3.189790852;Entire home/apt;165;5;18;11/09/2022;0.32;11;282;16;
603446;2 Bedroom 1 Bath Apartment. Lawnmarket. Royal Mile;2711564;Harvey;;Old Town, Princes Street and Leith Street;55.95004654;-3.188728094;Entire home/apt;160;5;17;16/08/2022;0.14;11;310;11;
603501;1 Bedroom Penthouse. Royal Mile Residence.;2711564;Harvey;;Old Town, Princes Street and Leith Street;55.95004654;-3.188728094;Entire home/apt;122;5;14;03/09/2022;0.13;11;265;11;
603502;1 Bedroom 1 Bathroom ROYAL MILE RESIDENCE;2711564;Harvey;;Old Town, Princes Street and Leith Street;55.95004654;-3.188728094;Entire home/apt;117;5;20;09/09/2022;0.44;11;306;19;
603674;4 bedroom 4 Bathroom apt. Royal Mile for 20 guests;2711564;Harvey;;Old Town, Princes Street and Leith Street;55.95017;-3.18902;Entire home/apt;349;3;51;04/09/2022;0.43;11;282;22;
603996;Ocean's 2 Bedroom Apartment;2989965;Ocean Serviced Apartments;;Western Harbour and Leith Docks;55.98616;-3.18849;Entire home/apt;287;2;102;27/03/2020;1.37;6;354;0;
607248;VINTAGE apt.pvt GARDEN.wifiNEW TOWN;3008499;Rebecca;;Broughton South;55.96234;-3.1907;Entire home/apt;63;1;558;05/09/2022;4.54;50;262;71;
612137;Double bedroom in quiet flat close to city centre;2056916;Jennet;;Marchmont West;55.93627;-3.19568;Private room;69;1;343;10/09/2022;2.79;1;35;44;
613382;Room to let in comfortable flat;3042010;Richie;;Morningside;55.92622;-3.20788;Private room;41;1;180;25/06/2018;1.47;1;0;0;
615726;Bright. spacious Victorian flat.;2717567;Carl;;Morningside;55.9255;-3.20878;Entire home/apt;164;2;69;11/07/2022;0.58;2;154;4;
619888;Grassmarket No1 with Amazing Views;3071816;Maureen;;Old Town, Princes Street and Leith Street;55.94752;-3.197;Entire home/apt;79;3;341;30/08/2022;2.93;7;14;75;
619889;Grassmarket No.2 next to Castle. amazing views;3071816;Maureen;;Old Town, Princes Street and Leith Street;55.94696;-3.19844;Entire home/apt;84;3;310;30/07/2022;2.72;7;87;53;
619891;Grassmarket Studio in City Center;3071816;Maureen;;Old Town, Princes Street and Leith Street;55.94655;-3.19972;Entire home/apt;101;3;350;29/08/2022;2.93;7;2;51;
622225;Central. comfy 2 bed flat. free parking;3084267;Belinda;;Canongate, Southside and Dumbiedykes;55.94474;-3.18217;Entire home/apt;125;3;20;31/08/2022;0.16;1;40;2;
622466;Luxury. City Centre. Free Parking & Wifi - M;173941;Neil;;Dalry and Fountainbridge;55.94342;-3.21801;Entire home/apt;203;2;54;04/09/2022;0.48;5;129;4;
622487;Luxury. City Centre. Free Parking & Wifi - B;173941;Neil;;Deans Village;55.94569;-3.22026;Entire home/apt;210;2;22;10/09/2022;0.19;5;121;3;
622500;Luxury. City Centre. Free Parking & Wifi - J;173941;Neil;;Dalry and Fountainbridge;55.94386;-3.21854;Entire home/apt;203;2;112;03/09/2022;0.96;5;4;6;
622532;Luxury. City Centre. Free Parking & Wifi - G;173941;Neil;;New Town East and Gayfield;55.96067;-3.18611;Entire home/apt;228;2;142;04/07/2022;1.19;5;213;1;
622930;CENTRAL. BEAUTIFUL. ARTISTS FLAT;3088607;Liam;;Meadows and Southside;55.94253;-3.18437;Entire home/apt;120;1;28;15/08/2022;0.25;2;308;7;
624492;Fab Festival Flat.under the castle.;3098393;Lorraine;;Old Town, Princes Street and Leith Street;55.94722;-3.1996;Entire home/apt;220;4;37;29/08/2021;0.3;2;97;0;
627527;Great Location - Dbl Room - Ensuite - Free Parking;3110470;Alan;;Broughton North and Powderhall;55.96706;-3.19422;Private room;62;1;340;11/09/2022;2.76;1;64;30;
633029;Stylish Central 2 Bedroom Apartment;3149701;Eleanor;;Stockbridge;55.95938;-3.2102;Entire home/apt;90;3;126;28/08/2022;1.03;3;3;5;
639079;Smart Apartment by Edinburgh Castle;3149701;Eleanor;;Old Town, Princes Street and Leith Street;55.94677;-3.19752;Entire home/apt;182;3;215;04/09/2022;1.76;3;39;16;
639942;Home from Home in Edinburgh;3195122;Tamsin;;Hillside and Calton Hill;55.95918;-3.17219;Entire home/apt;132;2;113;13/08/2022;0.94;1;169;5;
640398;Spacious Twin Room in v. good area.;3196941;Shanna;;Blackford, West Mains and Mayfield Road;55.92795;-3.17312;Private room;46;2;96;01/01/2020;0.78;4;166;0;
641458;Ocean's Family Apartment;2989965;Ocean Serviced Apartments;;Western Harbour and Leith Docks;55.98616;-3.18849;Entire home/apt;350;2;144;06/11/2021;1.89;6;360;1;
641460;Longstay Apartment · 2 Bedroom Apartment for 5;2989965;Ocean Serviced Apartments;;Western Harbour and Leith Docks;55.98616;-3.18849;Hotel room;165;4;82;28/08/2022;0.74;6;353;7;
641461;Two Bedroom Apartment. sleeping up to 5 persons.;2989965;Ocean Serviced Apartments;;Western Harbour and Leith Docks;55.98616;-3.18849;Hotel room;185;4;123;28/08/2022;1.57;6;349;7;
642048;A charming Edinburgh colony home;3208179;Mary;;Stockbridge;55.96196;-3.20651;Private room;37;1;51;23/08/2018;0.42;3;0;0;
642252;A small room in a friendly house;3208179;Mary;;Stockbridge;55.96114;-3.20674;Private room;36;1;167;24/07/2022;1.37;3;4;9;
643693;Central Garden Flat + Car Parking;3149701;Eleanor;;Newington and Dalkeith Road;55.94272;-3.17773;Entire home/apt;183;3;117;10/09/2022;0.96;3;77;18;
651278;Central 2 bed 2 bath with wifi. lift & parking;51094166;Shimon;;Meadowbank and Abbeyhill North;55.95781;-3.16068;Entire home/apt;98;3;227;31/08/2022;1.88;1;5;38;
659483;2 Bedroom Apt Cockburn St OLD TOWN;3327011;Kaddeer;;Old Town, Princes Street and Leith Street;55.95047;-3.18902;Entire home/apt;160;2;116;07/09/2022;0.96;5;334;2;
662990;The Broughton Road Residence;646220;Reserve;;Broughton North and Powderhall;55.96274;-3.19538;Entire home/apt;138;1;14;25/07/2022;0.12;46;311;7;
663405;The Ardmillan Residence;646220;Reserve;;Polwarth;55.93668;-3.22555;Entire home/apt;254;1;6;12/12/2021;0.05;46;296;1;
675104;Double Room. Central Edinburgh B&B;3429247;Alison;;Marchmont East and Sciennes;55.93723;-3.1898;Private room;71;3;23;30/11/2019;0.2;2;13;0;
702800;Courtyard setting near Airport-1;3608201;Vicky;;Ratho, Ingliston and Gogar;55.91529;-3.34756;Entire home/apt;128;2;449;11/09/2022;3.96;3;122;68;
706832;Central. elegant. bright loft with stunning views.;3632860;Sam;;Hillside and Calton Hill;55.95996;-3.17707;Entire home/apt;263;2;236;11/09/2022;2.11;1;244;42;
707097;Centre Royal Mile Apartment 3 bedrooms 2 bathrooms;3092851;Lynne;;Old Town, Princes Street and Leith Street;55.9498;-3.18354;Entire home/apt;338;2;64;30/08/2022;0.54;9;120;4;
728199;Central. spacious and comfy flat.;3776412;Tom;;Polwarth;55.93692;-3.22414;Private room;50;1;341;03/09/2022;2.83;1;204;52;
732008;51 18 Caledonian Crescent;3810279;Frederika And Agnes;;Dalry and Fountainbridge;55.94192;-3.21878;Entire home/apt;162;2;249;22/08/2022;2.16;2;137;49;
744710;Refurbished Flat in a Georgian Era Building in New Town;3737047;Gareth;;Deans Village;55.95324;-3.20368;Entire home/apt;142;2;209;30/06/2022;1.77;1;86;13;
748646;Great 3db Georgian apt in city cent;3930311;Adrian;;New Town East and Gayfield;55.95747;-3.18962;Entire home/apt;162;3;40;30/08/2022;0.41;1;1;4;
749042;Bright single room near Holyrood Park free parking;3935818;Relo;;Northfield and Piershill;55.95535;-3.14812;Private room;27;2;73;22/08/2022;0.64;1;0;9;
754100;Historic City Centre/Royal Mile. Free parking;3967512;Keith;;Canongate, Southside and Dumbiedykes;55.95102;-3.1803;Entire home/apt;195;3;332;08/09/2022;2.94;4;121;69;
764949;R1) Twin Room- Shared Facilities;4032602;Kim;;Newington and Dalkeith Road;55.93301;-3.172;Private room;75;1;1;08/12/2019;0.03;7;0;0;
767532;Jeffrey St (Flat 14). Royal Mile. Old Town;4048288;Martin;;Old Town, Princes Street and Leith Street;55.95087;-3.18424;Entire home/apt;84;3;78;24/08/2020;0.67;15;0;0;
769648;Rosslyn: Spacious. quiet. central;4048288;Martin;;Broughton South;55.96569;-3.18386;Entire home/apt;84;3;53;05/10/2020;0.46;15;0;0;
773926;The Corstorphine Residence No. 1;646220;Reserve;;Balgreen and Roseburn;55.9398;-3.26717;Entire home/apt;153;1;24;29/08/2022;0.28;46;297;19;
790170;Waterfront Apartment Amazing Views;4155880;Don;;Western Harbour and Leith Docks;55.98613;-3.18804;Entire home/apt;250;3;84;24/08/2022;0.75;1;170;16;
821573;Royal Mile- lovely 1600's Close;372744;Richard;;Canongate, Southside and Dumbiedykes;55.95343;-3.17467;Entire home/apt;118;2;41;29/08/2022;0.37;3;49;19;
822829;Fabulous City Center Apartment Edin;1521996;Armando;;Old Town, Princes Street and Leith Street;55.9562;-3.19168;Entire home/apt;361;2;169;04/08/2022;1.46;3;181;23;
834777;2 bed / 2 bath central apartment - high spec;2765595;Morris;;Deans Village;55.95202;-3.20342;Entire home/apt;268;3;41;07/09/2022;0.4;3;302;13;
835396;Warrender Apartment Edinburgh;4368884;Peter;;Marchmont West;55.93634;-3.1984;Entire home/apt;143;2;227;07/09/2022;1.96;1;61;33;
838551;Twin Room. Central Edinburgh B&B;3429247;Alison;;Marchmont East and Sciennes;55.93922;-3.19157;Private room;64;2;72;09/03/2020;0.73;2;12;0;
839192;Lovely Double/Twin in v. good area.;3196941;Shanna;;Blackford, West Mains and Mayfield Road;55.92621;-3.17274;Private room;40;2;18;03/04/2018;0.16;4;165;0;
840090;COMFORTABLE CENTRAL artist flat.;4380081;Lulu;;Old Town, Princes Street and Leith Street;55.94894;-3.18387;Entire home/apt;100;30;139;23/08/2022;1.18;1;316;1;
847909;Edinburgh Modern Beach Retreat;4426248;Gloria;;Portobello;55.95716;-3.12191;Entire home/apt;45;4;79;21/09/2018;0.7;1;181;0;
850755;The Hart Street Residence No. 1;646220;Reserve;;New Town East and Gayfield;55.95955;-3.18734;Entire home/apt;184;1;21;25/07/2022;0.19;46;293;9;
853803;New Town (not Leith) central flat  Leopold Place;4458217;Anne;;Hillside and Calton Hill;55.95807;-3.18317;Entire home/apt;105;4;19;06/07/2019;0.16;1;0;0;
860170;Classical Apartment on the Royal Mile;1366276;Calim;;Old Town, Princes Street and Leith Street;55.94927;-3.19407;Entire home/apt;155;4;887;06/09/2022;7.68;2;247;87;
864416;Large room behind Holyrood Palace;2220775;Eva;;Abbeyhill;55.95392;-3.16883;Private room;35;2;474;10/09/2022;4.05;4;275;67;
868144;City centre grandeur;3540665;Abbey;;Canonmills and New Town North;55.95896;-3.19764;Entire home/apt;152;2;94;15/09/2020;0.83;2;12;0;
883026;Smart 3 bedroomed flat with parking;2280137;Gill;;New Town East and Gayfield;55.96003;-3.18708;Entire home/apt;174;4;295;27/08/2022;2.58;10;99;40;
886208;Super sunny flat near the sea;3300633;Sarah;;Portobello;55.95137;-3.11563;Entire home/apt;100;4;14;11/07/2022;0.16;2;24;2;
893085;The David Hume Residence (Edinburgh);646220;Reserve;;Old Town, Princes Street and Leith Street;55.95007;-3.1927;Entire home/apt;252;1;7;11/08/2022;0.14;46;202;5;
897444;Central Georgian house in Edinburgh;4788004;Carmen;;Abbeyhill;55.95633;-3.17089;Entire home/apt;265;2;81;05/08/2022;0.75;1;23;2;
904137;VERY central 1 bed apt for 4 - parking and PS2!;1942840;Yvonne;;Hillside and Calton Hill;55.9609;-3.17576;Entire home/apt;103;7;411;28/08/2022;3.55;3;153;6;
904992;The Lochend Park View Residence No. 1;646220;Reserve;;Meadowbank and Abbeyhill North;55.96024;-3.16119;Entire home/apt;168;1;6;30/07/2022;0.1;46;332;3;
931908;Unique Beautiful Bijou Annexe Flat;5021059;Kim;;Great Junction Street;55.97248;-3.17427;Entire home/apt;139;2;132;15/08/2022;1.14;2;94;16;
970323;Sandaig Guest House;5301341;Karen;;South Leith;55.96936;-3.16306;Private room;130;2;1;27/01/2019;0.02;3;0;0;
